"LB","DP","ASTV","Min","Max","Median","AC","FM","UC","DL","MSTV","MLTV","Width","Nmax","Variance","CLASS"
132,0,17,68,198,140,0.006,0,0.006,0.003,0.855593001636137,4.63110812808342,22.0769897058002,2.48643211612953,2.37457768756112,"AD"
133,0,16,68,198,138,0.003,0,0.008,0.003,0.855593001636137,5.43054837829206,22.0769897058002,2.24392467524275,2.43782125694144,"AD"
134,0,16,53,170,137,0.003,0,0.008,0.003,0.90571355618863,7.52643827660061,20.8151928685581,3.40929484318465,2.43782125694144,"AD"
132,0,16,53,170,138,0.007,0,0.008,0,0.90571355618863,6.90711313801227,20.8151928685581,3.08353966837914,2.30594789483639,"REM"
134,0.003,29,50,200,106,0.001,0,0.013,0.008,1.23978991631035,0,23.9053463338042,2.48643211612953,4.58379516801156,"LD"
122,0,83,62,130,123,0,0,0,0,0.365624027218379,5.96303376100571,15.3084821346581,0,1.3293639188494,"Flatsinusoidal"
122,0,84,62,130,123,0,0,0.002,0,0.365624027218379,5.48062432952967,15.3084821346581,0,1.3293639188494,"Flatsinusoidal"
151,0,64,56,186,151,0,0,0.001,0.001,0.817883104023266,8.3734384082902,22.0769897058002,1.25880704710203,2.14836763443472,"Suspect"
131,0,28,71,158,141,0.009,0.222,0.006,0.002,0.7291225311446,3.00193868646187,17.6166920973722,1.25880704710203,2.23096241784,"REM"
130,0,24,53,178,138,0.006,0.441,0.005,0.005,0.855593001636137,4.77132793326134,21.5991818844061,2.24392467524275,3.75411331009242,"AD"
131,0.002,18,67,174,132,0.002,0.383,0.003,0.005,0.90571355618863,5.55507681267826,19.7981044100589,2.24392467524275,3.41488441556093,"DE"
130,0.001,29,65,177,133,0.005,0.469,0.005,0.004,0.776001472334851,3.84434597569045,20.3120909222037,2.48643211612953,3.01572836223262,"AD"
129,0.003,30,54,182,120,0,0.34,0.004,0.002,0.855593001636137,4.06684005609507,21.8869433622682,3.69617524105832,4.26179122715019,"LD"
128,0.003,34,54,199,102,0,0.334,0.003,0.003,0.920952620899952,2.43234088257528,23.4598226428826,3.40929484318465,4.31311603297803,"LD"
128,0,86,114,130,129,0,0,0.003,0,0.24527655760701,1.92357299916385,6.42827431423103,0,0,"Flatsinusoidal"
124,0,86,118,130,125,0,0,0,0,0.24527655760701,2.43234088257528,5.34608424975544,0.754786588599786,0,"Flatsinusoidal"
132,0,26,50,193,117,0,0.099,0,0.012,1.22467833846631,2.84641854794327,23.2795510654517,3.25203448455613,3.93569092307632,"DE"
132,0,26,50,199,126,0,0.108,0.002,0.01,1.13115055698592,5.20061884973969,23.8168190230909,3.08353966837914,3.58358069155753,"DE"
132,0,29,50,194,130,0,0.089,0.001,0.01,0.975857492164192,5.84538846865289,23.3698371456715,3.40929484318465,3.21930444531207,"DE"
114,0,24,52,186,117,0.005,0,0.005,0.003,1.0117170483526,6.10181143437239,22.452919842147,2.90175226003759,2.73824411275413,"AD"
114,0,28,55,153,120,0.008,0.058,0.007,0.001,0.873091251652966,5.12222020546024,18.8430261228566,2.70395279133982,2.43782125694144,"REM"
114,0,27,54,182,119,0.006,0.047,0.009,0,0.90571355618863,5.45563106355131,21.8869433622682,2.48643211612953,2.43782125694144,"REM"
122,0,22,50,200,117,0,0.018,0.003,0.005,1.12354330185039,5.86906727299021,23.9053463338042,2.70395279133982,2.92290227923088,"DE"
122,0,17,53,198,126,0,0.005,0.008,0.003,1.15959600566586,7.35113473121799,23.4598226428826,3.69617524105832,2.95510001620654,"REM"
122,0,20,50,198,127,0.002,0.003,0.006,0.002,1.16625346345761,7.15215193185246,23.7280058733741,3.40929484318465,3.04434150109508,"AD"
158,0,29,142,197,172,0.005,0,0.008,0,0.676172945993905,5.27812039488408,13.5459800668101,1.96855537715466,2.14836763443472,"REM"
156,0,43,50,200,152,0,0,0.012,0.008,1.09937639441389,7.37078553730838,23.9053463338042,2.70395279133982,3.77552089039076,"DE"
148,0,70,136,154,150,0,0.003,0,0,0.24527655760701,2.88578979943749,6.92283264934613,1.64768074498288,0,"Flatsinusoidal"
149,0,57,58,184,151,0,0,0,0.002,0.646993864251809,5.27812039488408,21.695466868391,3.55691906923805,2.05650345018984,"DE"
146,0,39,134,178,155,0.005,0,0.005,0,0.545843904020554,2.92482821687149,11.8924811395077,2.24392467524275,1.53304664305606,"REM"
146,0,39,143,171,154,0.005,0,0.005,0,0.506552935040831,2.92482821687149,9.08507989322865,1.25880704710203,0.678714936776588,"REM"
136,0,24,74,185,141,0.003,0,0.005,0,0.7291225311446,4.85399853500065,20.2101873810875,3.40929484318465,1.06265159559084,"CalmVig"
150,0,40,143,161,154,0,0,0.004,0,0.506552935040831,3.115300874464,6.92283264934613,0.754786588599786,0,"CalmSleep"
138,0,44,81,180,159,0.001,0,0.004,0,0.582113046930098,5.04289332721449,18.9511636449025,3.08353966837914,2.05650345018984,"Shiftpattern"
140,0,34,119,179,155,0.007,0,0.004,0,0.646993864251809,4.60268437494644,14.2451400085123,1.25880704710203,1.69742417905871,"REM"
144,0,46,132,169,160,0,0,0.005,0,0.506552935040831,5.32930430728848,10.7361575882412,1.96855537715466,1.69742417905871,"Shiftpattern"
144,0,45,138,168,160,0.001,0,0.005,0,0.506552935040831,4.93562296928942,9.47130662626444,1.64768074498288,1.69742417905871,"Shiftpattern"
140,0,52,68,172,147,0.01,0.006,0.003,0,0.753246935003227,6.10181143437239,19.4841768549111,0,2.49644349475125,"REM"
150,0,61,138,166,155,0,0,0.003,0,0.545843904020554,4.12883785232048,9.08507989322865,0,1.3293639188494,"Suspect"
145,0,35,56,196,151,0.005,0.01,0.005,0,0.817883104023266,7.19231574414637,23.0068580359168,2.24392467524275,2.37457768756112,"REM"
145,0,34,57,166,150,0,0.002,0.002,0,0.776001472334851,8.06926435918377,20.0050516703024,2.24392467524275,2.23096241784,"CalmSleep"
145,0,40,73,186,165,0.014,0.026,0.001,0,0.615727205111366,0.959271326426664,20.4135593320583,1.96855537715466,2.30594789483639,"ActVig"
139,0,38,53,187,138,0,0.107,0,0.002,0.7291225311446,5.40537532951073,22.452919842147,2.24392467524275,1.83498594137563,"CalmVig"
139,0,62,73,184,148,0,0.009,0,0,0.463798373568717,4.93562296928942,20.2101873810875,1.96855537715466,1.06265159559084,"CalmSleep"
139,0,64,135,163,157,0.002,0.002,0.002,0,0.308717012429313,3.40533870757234,9.08507989322865,0.754786588599786,2.43782125694144,"Shiftpattern"
148,0,70,136,153,150,0,0.003,0,0,0.24527655760701,2.9635419152284,6.67887676920236,1.25880704710203,0,"Suspect"
148,0,60,78,161,154,0,0.001,0,0.001,0.365624027218379,2.76664335208407,17.1525156565278,1.64768074498288,0.678714936776588,"Suspect"
125,0,25,72,165,132,0.005,0,0.002,0.003,0.776001472334851,4.96260524562071,18.2942325921033,1.64768074498288,2.23096241784,"AD"
125,0,22,56,184,126,0.004,0.029,0.003,0.004,0.962958205910687,6.32764796732473,21.8869433622682,2.24392467524275,2.60216581452769,"AD"
125,0,22,52,197,121,0,0.05,0,0.008,1.08203008964855,5.3547542807236,23.4598226428826,2.70395279133982,2.88930817583791,"DE"
125,0,25,80,142,127,0,0.003,0,0,0.7291225311446,6.78185973381872,14.5170046000528,1.96855537715466,1.83498594137563,"CalmVig"
125,0,23,78,200,128,0.007,0.058,0.002,0.007,0.873091251652966,2.60270126392651,21.308087920849,3.25203448455613,2.77883419821072,"AD"
129,0,38,111,165,134,0,0.003,0.006,0,0.646993864251809,5.20061884973969,13.4025728702081,1.96855537715466,1.06265159559084,"CalmVig"
129,0,22,50,195,129,0.007,0.009,0.009,0.012,1.17907575060907,0,23.4598226428826,3.69617524105832,3.90989189471614,"AD"
123,0,30,95,148,126,0.003,0,0.004,0.004,0.615727205111366,3.15250199016865,13.2578992474517,1.64768074498288,1.83498594137563,"AD"
123,0,29,92,148,124,0.001,0,0.004,0.006,0.615727205111366,2.38865802530521,13.6881542462573,1.64768074498288,1.83498594137563,"DE"
123,0,47,59,189,127,0,0,0.005,0.004,0.615727205111366,3.71307475137587,22.0769897058002,3.82808773292318,2.55105831689128,"DE"
123,0,50,75,169,126,0,0,0.005,0.005,0.506552935040831,2.02113809142334,18.4050999260383,2.70395279133982,2.05650345018984,"DE"
123,0,45,59,144,125,0,0,0.005,0.006,0.582113046930098,2.34451103115532,17.3859089354641,2.90175226003759,2.49644349475125,"DE"
159,0,62,81,172,164,0,0,0.003,0,0.365624027218379,5.38011095631012,18.0707734161532,0,1.06265159559084,"Suspect"
159,0,65,153,168,164,0,0,0.003,0,0.308717012429313,3.50994248561791,6.17043625827004,0,0,"Suspect"
158,0,55,156,171,166,0,0,0,0,0.365624027218379,3.15250199016865,6.17043625827004,0,0,"CalmSleep"
159,0,61,133,177,166,0.001,0,0.008,0,0.308717012429313,4.09792256261563,11.8924811395077,1.96855537715466,0.678714936776588,"CalmSleep"
159,0,58,133,177,166,0.002,0,0.01,0,0.365624027218379,3.87667824235994,11.8924811395077,1.96855537715466,1.06265159559084,"CalmSleep"
159,0,58,133,177,165,0.002,0,0.01,0,0.365624027218379,3.84434597569045,11.8924811395077,1.96855537715466,1.06265159559084,"CalmSleep"
159,0,66,147,170,166,0,0,0.009,0,0.308717012429313,3.64622461291257,8.05886310553832,0,0,"Suspect"
159,0,57,155,177,168,0,0,0.006,0,0.365624027218379,3.94078318468147,7.84156344209358,0.754786588599786,1.06265159559084,"CalmSleep"
154,0,44,50,197,157,0.003,0,0.003,0,0.837215540055795,9.70823584981389,23.638904033993,2.90175226003759,2.88930817583791,"REM"
